symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev
AACIW,2025-06-24,13,30,0.433333,0.433,1.1899,0.0707,0.00077
AACIW,2025-07-25,11,16,0.6875,0.688437,0.3323,0.3385,0.001363
AACT+,2025-03-10,29,20,1.45,1.447409,0.7826,1.6957,0.001789
AAON,2023-08-17,40,27,1.481481,1.487824,2.0251,1.6383,0.004272
ABEO,2022-07-05,1,22,0.045455,0.044665,0.2971,0.116,0.017522
ABNY,2025-12-02,1,5,0.2,0.200225,0.0103,0.1538,0.001123
ABP,2025-11-03,1,30,0.033333,0.033488,0.1303,0.0469,0.004627
ABTC,2026-07-06,1,14,0.071429,0.071793,0.263,0.3453,0.005085
ABTS,2025-03-10,1,14,0.071429,0.071038,0.9392,0.4423,0.005479
ACAHW,2022-05-19,19,30,0.633333,0.632941,0.4413,0.353,0.000619
ACB,2024-02-20,7,64,0.109375,0.108911,0.2066,0.3152,0.004255
ACET,2025-12-30,3,50,0.06,0.060603,0.1377,0.1113,0.010007
ACII,2025-09-26,13,32,0.40625,0.405318,1.3607,0.2145,0.002296
ACII+,2022-05-09,19,13,1.461538,1.462445,0.6667,2.0,0.00062
ACON,2024-01-04,3,40,0.075,0.074586,1.1512,0.6121,0.00554
ACON,2025-03-28,1,27,0.037037,0.037143,0.168,0.0788,0.002853
ACONW,2022-05-24,12,7,1.714286,1.711194,2.2417,0.8953,0.001805
ACONW,2022-06-14,19,32,0.59375,0.595238,0.5195,0.9101,0.002503
ACONW,2022-07-15,5,3,1.666667,1.666667,1.5248,1.2706,0.0
ACONW,2022-08-01,31,64,0.484375,0.485714,0.0018,0.7273,0.002761
ACOR,2023-06-05,1,17,0.058824,0.058824,0.1656,0.1566,0.0
ACRO+,2022-05-17,7,10,0.7,0.709062,0.5573,0.3997,0.012863
ACRO+,2022-09-14,5,11,0.454545,0.455373,1.7778,0.5556,0.00182
ACRS,2023-11-13,5,1,5.0,5.005263,29.031,5.3563,0.001052
ACRX,2022-10-26,2,31,0.064516,0.064463,0.6734,0.4702,0.000831
ACST,2023-07-10,2,11,0.181818,0.181185,2.4736,0.5692,0.00349
ACXP,2025-08-05,1,20,0.05,0.049658,0.1266,0.1293,0.006873
ACY,2022-01-10,17,4,4.25,4.235808,2.3393,2.7765,0.003345
ADAP,2024-10-31,20,29,0.689655,0.689901,0.7562,0.3827,0.000356
ADIL,2023-08-07,1,26,0.038462,0.038397,0.5027,0.454,0.001671
ADIL,2026-02-06,1,25,0.04,0.039474,0.7362,0.4149,0.013245
ADN,2024-05-14,1,30,0.033333,0.032857,0.2176,0.0423,0.014389
ADRA+,2022-05-12,10,7,1.428571,1.428232,1.0,1.0,0.000238
ADSEW,2023-08-03,25,16,1.5625,1.560303,0.9664,1.9898,0.001407
ADV,2026-03-27,3,70,0.042857,0.042656,0.1906,0.1844,0.004697
ADVM,2024-03-21,2,19,0.105263,0.105411,0.1504,0.1045,0.001404
ADXN,2023-10-23,1,20,0.05,0.050707,4.055,0.3284,0.014033
AEHAW,2022-05-10,23,16,1.4375,1.433478,1.1204,0.747,0.002802
AEHAW,2022-05-19,17,11,1.545455,1.546278,1.402,1.2,0.000533
AEHL,2023-09-18,7,65,0.107692,0.108433,0.6089,0.3217,0.006857
AEHL,2026-03-05,2,13,0.153846,0.153614,0.7384,0.5411,0.001507
AEHL,2026-08-10,2,29,0.068966,0.069283,1.7845,0.4334,0.004586
AEI,2022-12-28,1,20,0.05,0.050201,0.4024,0.1244,0.004005
AEMD,2023-10-05,3,26,0.115385,0.11523,0.7638,0.3018,0.001342
AEMD,2025-06-09,8,65,0.123077,0.123826,2.0466,0.7247,0.006066
AEMD,2025-10-20,3,31,0.096774,0.097121,0.2394,0.1793,0.003582
AEVA,2024-03-19,6,31,0.193548,0.196393,0.546,0.6943,0.014589
AEVAW,2026-01-13,7,10,0.7,0.700719,0.3454,0.7979,0.001026
AEY,2023-11-16,2,25,0.08,0.07934,0.8263,0.36,0.008285
AEZS,2022-07-21,1,23,0.043478,0.043553,0.3381,0.21,0.001716
AFAQW,2022-05-16,16,25,0.64,0.64,0.3689,0.3653,0.0
AFAQW,2022-05-24,2,3,0.666667,0.667071,0.5725,0.851,0.000606
AFMD,2024-03-11,3,29,0.103448,0.101997,0.3644,0.1661,0.014132
AFRIW,2024-06-14,6,17,0.352941,0.353108,0.7924,0.3069,0.000473
AFTR+,2023-06-02,2,3,0.666667,0.668667,0.939,0.4695,0.002996
AGBA,2024-10-02,25,13,1.923077,1.92437,2.1891,1.6588,0.000672
AGEN,2024-04-12,1,20,0.05,0.050223,0.2322,0.2842,0.004454
AGFY,2022-10-18,7,80,0.0875,0.087794,0.1516,0.2091,0.003359
AGFY,2023-07-05,1,20,0.05,0.049448,0.2377,0.1136,0.011111
AGFY,2024-10-08,1,14,0.071429,0.072698,1.2252,0.4252,0.017622
AGL,2026-03-31,1,26,0.038462,0.038226,0.1657,0.293,0.006145
AGLE,2023-09-08,1,23,0.043478,0.04443,2.7988,0.5313,0.021665
AGRI,2025-07-28,3,29,0.103448,0.10195,0.2309,0.332,0.01459
AGRX,2022-04-27,3,100,0.03,0.030164,0.1099,0.0513,0.005464
AGRX,2023-04-11,1,50,0.02,0.021739,0.6399,0.184,0.083361
AHI,2023-06-30,7,18,0.388889,0.388406,0.3291,0.2765,0.001243
AHT,2024-10-28,2,21,0.095238,0.09485,0.9133,0.1939,0.004083
AIBD,2026-07-15,1,10,0.1,0.098436,0.0969,0.0944,0.015763
AIFA,2026-06-12,5,32,0.15625,0.155844,0.5785,0.6304,0.002601
AIFU,2025-05-21,9,80,0.1125,0.113333,0.205,0.0618,0.00738
