vendor,symbol,prev_date,ex_date,cc_return,classification,p2_tier,factor_est,vol_gate_day,vol_gate_persist,gap_days,persistence,reason
databento-xnas,AAOI,2023-08-03,2023-08-04,0.528169,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,ABVX,2025-07-21,2025-07-22,4.500486,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,ACLX,2026-02-20,2026-02-23,0.775854,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,ACMR,2022-03-23,2022-03-24,-0.6735,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,AFRM,2022-05-11,2022-05-12,0.595364,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,AKRO,2022-09-12,2022-09-13,1.320293,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,AKRO,2023-10-09,2023-10-10,-0.689655,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,AKRO,2025-01-24,2025-01-27,0.779924,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,ALNY,2022-08-02,2022-08-03,0.503768,repricing,NEAR,0.7,11.6233,2.6097,1,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,ALPN,2024-04-09,2024-04-10,0.646138,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,AMDL,2025-04-08,2025-04-09,0.543478,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,AMDL,2025-10-03,2025-10-06,0.522556,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,AMLX,2022-09-07,2022-09-08,0.511173,repricing,NEAR,0.56,15.5027,3.9061,1,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,AMLX,2024-03-07,2024-03-08,-0.821014,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,AMZN,2022-06-03,2022-06-06,-0.948866,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,ANET,2021-11-17,2021-11-18,-0.749721,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,ANET,2024-12-03,2024-12-04,-0.747411,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,APH,2024-06-11,2024-06-12,-0.491814,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,APLD,2022-06-10,2022-06-13,-0.510949,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,APLD,2022-07-15,2022-07-18,0.5,repricing,,,,,3,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,APLD,2022-07-18,2022-07-19,0.628205,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,APLD,2023-05-15,2023-05-16,0.813056,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
