vendor,symbol,first_date,last_date,n_gaps_gt14d,worst_gap_from,worst_gap_to,worst_gap_days,all_gaps
databento-xnas,B,2021-09-02,2026-09-01,1,2025-01-24,2025-05-09,105,2025-01-24->2025-05-09(105d)
databento-xnas,BNY,2021-09-02,2026-09-01,1,2026-02-06,2026-05-21,104,2026-02-06->2026-05-21(104d)
databento-xnas,BOXX,2022-12-28,2026-09-01,2,2022-12-28,2023-02-03,37,2022-12-28->2023-02-03(37d);2023-02-24->2023-03-16(20d)
databento-xnas,CAI,2021-09-02,2026-09-01,1,2021-11-22,2025-06-18,1304,2021-11-22->2025-06-18(1304d)
databento-xnas,COHR,2021-09-02,2026-09-01,1,2022-06-30,2022-09-08,70,2022-06-30->2022-09-08(70d)
databento-xnas,COR,2021-09-02,2026-09-01,1,2021-12-28,2023-08-30,610,2021-12-28->2023-08-30(610d)
databento-xnas,CORZ,2022-01-20,2026-09-01,1,2022-12-30,2024-01-24,390,2022-12-30->2024-01-24(390d)
databento-xnas,FI,2021-09-02,2025-11-10,1,2021-10-01,2023-06-07,614,2021-10-01->2023-06-07(614d)
databento-xnas,FIG,2022-05-17,2026-09-01,1,2025-05-23,2025-07-31,69,2025-05-23->2025-07-31(69d)
databento-xnas,FISV,2021-09-02,2026-09-01,1,2023-06-06,2025-11-11,889,2023-06-06->2025-11-11(889d)
databento-xnas,IBIT,2022-09-08,2026-09-01,1,2023-04-28,2024-01-11,258,2023-04-28->2024-01-11(258d)
databento-xnas,MAGS,2021-09-02,2026-09-01,1,2021-09-29,2023-11-09,771,2021-09-29->2023-11-09(771d)
databento-xnas,META,2021-09-02,2026-09-01,1,2022-01-28,2022-06-09,132,2022-01-28->2022-06-09(132d)
databento-xnas,NESR,2021-09-02,2026-09-01,1,2023-04-27,2024-10-22,544,2023-04-27->2024-10-22(544d)
databento-xnas,SAIL,2021-09-02,2026-09-01,1,2022-08-15,2025-02-13,913,2022-08-15->2025-02-13(913d)
databento-xnas,SEZL,2023-08-17,2026-09-01,1,2023-08-17,2023-09-14,28,2023-08-17->2023-09-14(28d)
databento-xnas,SPCX,2021-09-02,2026-09-01,1,2026-04-06,2026-06-12,67,2026-04-06->2026-06-12(67d)
databento-xnas,SPYM,2024-09-03,2026-09-01,1,2025-02-21,2025-10-31,252,2025-02-21->2025-10-31(252d)
databento-xnas,STRC,2021-09-27,2026-09-01,1,2024-04-05,2025-07-30,481,2024-04-05->2025-07-30(481d)
databento-xnys,B,2021-09-03,2026-09-02,1,2025-01-24,2025-05-09,105,2025-01-24->2025-05-09(105d)
databento-xnys,BNY,2021-09-03,2026-09-02,1,2026-02-06,2026-05-21,104,2026-02-06->2026-05-21(104d)
databento-xnys,COHR,2021-09-03,2026-09-02,1,2022-06-30,2022-09-08,70,2022-06-30->2022-09-08(70d)
databento-xnys,COR,2021-09-03,2026-09-02,1,2021-12-27,2023-08-30,611,2021-12-27->2023-08-30(611d)
databento-xnys,FIG,2022-07-22,2026-09-02,10,2023-11-07,2024-09-30,328,2022-07-22->2022-10-14(84d);2022-10-14->2022-12-27(74d);2022-12-27->2023-02-09(44d);2023-02-09->2023-07-24(165d);2023-07-24->2023-08-30(37d);2023-08-30->2023-11-07(69d);2023-11-07->2024-09-30(328d);2024-09-30->2024-12-11(72d);2024-12-11->2025-05-16(156d);2025-05-16->2025-07-31(76d)
databento-xnys,RBC,2021-09-03,2026-09-02,1,2021-10-04,2022-09-26,357,2021-10-04->2022-09-26(357d)
databento-xnys,SGOV,2021-09-03,2026-09-02,2,2021-10-12,2021-10-28,16,2021-10-12->2021-10-28(16d);2021-11-18->2021-12-03(15d)
databento-xnys,VG,2021-09-03,2026-09-02,1,2022-07-20,2025-01-24,919,2022-07-20->2025-01-24(919d)
