symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev,gap_days,persistence
AIRI,2022-10-25,2,19,0.105263,0.105735,0.1549,0.0673,0.004468,8,persistent
CANF,2023-01-11,3,32,0.09375,0.094237,0.8387,0.125,0.005184,6,persistent
COIA,2026-06-01,19,40,0.475,0.475408,1.12,0.4984,0.000859,5,persistent
CPHI,2025-04-16,3,31,0.096774,0.096241,0.0006,0.0782,0.005524,2,persistent
DIPS,2025-12-10,3,29,0.103448,0.102441,0.0017,0.0057,0.009786,9,persistent
DUG,2022-01-14,13,64,0.203125,0.201885,0.0059,0.4441,0.006125,2,persistent
DULL,2026-02-25,1,50,0.02,0.019756,0.1475,0.2951,0.012294,2,persistent
EWV,2024-11-12,6,25,0.24,0.239534,0.2422,0.0183,0.001944,6,persistent
FLYD,2024-03-26,3,29,0.103448,0.101824,0.001,0.0002,0.015824,4,persistent
FLYD,2026-02-25,11,100,0.11,0.110232,0.3209,0.0107,0.002109,2,persistent
IVOO,2023-03-15,65,32,2.03125,2.016888,0.9975,1.995,0.007096,2,persistent
MEXX,2023-08-29,31,6,5.166667,5.104586,0.0615,1.5385,0.012088,6,persistent
MWG,2026-02-24,2,21,0.095238,0.095508,0.2111,0.2222,0.002831,4,persistent
OARK,2025-12-05,6,31,0.193548,0.195465,0.0078,0.0137,0.009855,4,persistent
PXJ,2023-07-18,1,5,0.2,0.199203,0.25,0.99,0.003992,5,persistent
QSU,2026-03-24,17,100,0.17,0.170413,0.6471,0.3529,0.002424,7,persistent
RSPH,2023-07-18,10,1,10.0,10.034818,96.875,12.5,0.003476,4,persistent
SCC,2025-06-17,11,23,0.478261,0.478811,3.9448,0.3945,0.00115,6,persistent
SLON,2026-05-29,3,14,0.214286,0.213488,0.2795,0.4193,0.00373,2,persistent
SMDD,2025-06-16,32,65,0.492308,0.492178,0.1257,0.1257,0.000263,6,persistent
SSG,2024-04-17,6,31,0.193548,0.193284,0.0597,0.995,0.001369,8,persistent
UXRP,2026-05-29,1,5,0.2,0.199427,0.0007,0.1893,0.00287,2,persistent
XYZY,2025-12-02,14,65,0.215385,0.216362,0.5202,0.1066,0.004528,4,persistent
YXI,2025-11-21,19,40,0.475,0.475229,0.3333,0.2333,0.000482,7,persistent
