symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev,gap_days,persistence
AGL,2024-11-08,31,20,1.55,1.55,2.3082,1.192,0.0,1,persistent
ARI,2026-07-16,17,11,1.545455,1.547724,2.2618,0.9548,0.001467,1,persistent
ARMP,2022-12-28,13,9,1.444444,1.441303,1.0,1.0,0.002177,6,persistent
BERZ,2022-03-21,16,11,1.454545,1.457273,0.864,0.8,0.001873,6,persistent
BITU,2024-08-05,11,7,1.571429,1.571348,0.7341,0.747,5.1e-05,3,persistent
BNED,2024-05-23,21,13,1.615385,1.614286,2.4151,0.7283,0.000681,1,persistent
CTM,2023-08-16,31,22,1.409091,1.410186,1.7147,1.9753,0.000777,1,persistent
CYH,2023-05-02,28,17,1.647059,1.65252,2.4405,0.9025,0.00331,1,persistent
DXF,2025-01-28,31,65,0.476923,0.476825,7.5894,0.1916,0.000205,1,persistent
GCDT,2026-02-27,27,17,1.588235,1.589041,1.3333,1.1267,0.000507,4,persistent
HIYY,2026-03-12,23,40,0.575,0.574666,0.6849,0.6849,0.000581,9,persistent
IBO,2025-04-04,14,29,0.482759,0.482419,87.359,0.697,0.000703,1,persistent
INUV,2023-01-12,7,10,0.7,0.717426,0.5333,1.0667,0.02459,13,persistent
INUV,2026-01-29,23,16,1.4375,1.435345,1.7758,1.222,0.0015,1,persistent
ITRG,2023-05-26,5,12,0.416667,0.416396,0.3328,0.6656,0.000649,1,persistent
JETD,2025-04-08,21,32,0.65625,0.655969,0.5714,0.4762,0.000429,7,persistent
LAC,2023-10-04,14,9,1.555556,1.553743,1.676,1.7892,0.001166,1,persistent
LSF,2025-11-11,31,20,1.55,1.551471,1.81,1.86,0.000948,1,persistent
MI,2025-07-24,21,31,0.677419,0.676737,1.0,0.78,0.001008,9,persistent
MWG,2023-11-01,20,9,2.222222,2.218543,1.5,1.705,0.001657,9,persistent
SYNX,2025-04-01,17,8,2.125,2.122642,1.635,1.0,0.00111,14,persistent
TOVX,2023-12-26,32,23,1.391304,1.395349,1.0989,1.0989,0.002903,6,persistent
WTIU,2025-04-07,27,16,1.6875,1.689307,1.0,2.0,0.00107,13,persistent
WYY,2025-05-16,7,5,1.4,1.399485,1.6984,2.0498,0.000368,1,persistent
XTNT,2023-03-13,32,23,1.391304,1.391126,0.7933,0.6667,0.000128,6,persistent
YINN,2024-10-08,13,9,1.444444,1.442868,1.0759,1.0384,0.001092,1,persistent
ZVIA,2026-02-26,7,5,1.4,1.396396,2.0118,0.9983,0.002577,1,persistent
