symbol,ex_date,event,factor,source,verdict,measured_open,measured_close,persistence
AAON,2023-08-17,FORWARD_SPLIT,1.5,yahoo,corroborated,1.5044,1.5546,persistent
AAUC,2025-05-22,REVERSE_SPLIT,0.333333333333,yahoo,ex-date-absent,,,
ABAT,2023-09-11,REVERSE_SPLIT,0.0666666666667,yahoo,ex-date-absent,,,
ABEO,2022-07-05,REVERSE_SPLIT,0.04,yahoo,corroborated,0.0513,0.0472,persistent
ABNY,2025-12-02,REVERSE_SPLIT,0.2,inband,ex-date-absent,,,
ABP,2025-11-03,REVERSE_SPLIT,0.033333,inband,corroborated,0.0369,0.0359,persistent
ABTC,2022-11-08,REVERSE_SPLIT,0.05,yahoo,ex-date-absent,,,
ABTC,2024-02-09,REVERSE_SPLIT,0.05,yahoo,ex-date-absent,,,
ABTC,2025-09-03,REVERSE_SPLIT,0.2,yahoo,no-prev-bar,,,
ABTC,2026-07-06,REVERSE_SPLIT,0.066667,yahoo,corroborated,0.0684,0.0661,persistent
ABTS,2025-03-10,REVERSE_SPLIT,0.071429,inband,corroborated,0.106,0.0875,persistent
ABVC,2023-07-25,REVERSE_SPLIT,0.1,yahoo,corroborated,0.0925,0.0925,persistent
ACB,2024-02-20,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1072,0.1118,persistent
ACET,2025-12-30,REVERSE_SPLIT,0.0625,yahoo,corroborated,0.0626,0.0623,persistent
ACFN,2023-09-08,REVERSE_SPLIT,0.0625,yahoo,ex-date-absent,,,
ACII,2025-09-26,REVERSE_SPLIT,0.40625,inband,ex-date-absent,,,
ACMR,2022-03-24,FORWARD_SPLIT,3.0,yahoo,corroborated,2.9253,3.0451,persistent
ACON,2024-01-04,REVERSE_SPLIT,0.0625,yahoo,corroborated,0.0484,0.0728,persistent
ACON,2025-01-30,REVERSE_SPLIT,0.002985,yahoo,corroborated,0.0038,0.0035,persistent
ACON,2025-03-28,REVERSE_SPLIT,0.037037,yahoo,corroborated,0.0394,0.0443,persistent
ACOR,2023-06-05,REVERSE_SPLIT,0.058824,inband,corroborated,0.0558,0.0528,persistent
ACRS,2023-11-13,FORWARD_SPLIT,5.0,inband,drifted,6.7935,7.3786,persistent
ACRX,2022-10-26,REVERSE_SPLIT,0.064516,inband,corroborated,0.0597,0.056,persistent
ACST,2023-07-10,REVERSE_SPLIT,0.181818,inband,corroborated,0.1765,0.1827,persistent
ACXP,2025-08-05,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0469,0.0551,persistent
ACY,2022-01-10,FORWARD_SPLIT,4.25,inband,corroborated,4.4655,4.9443,persistent
ADAM,2023-03-09,REVERSE_SPLIT,0.25,yahoo,ex-date-absent,,,
ADAP,2024-10-31,REVERSE_SPLIT,0.689655,inband,drifted,0.966,0.9638,persistent
ADIL,2023-08-07,REVERSE_SPLIT,0.04,yahoo,corroborated,0.0415,0.0374,persistent
ADIL,2026-02-06,REVERSE_SPLIT,0.04,yahoo,corroborated,0.0383,0.0449,persistent
ADN,2024-05-14,REVERSE_SPLIT,0.033333,inband,corroborated,0.0353,0.0306,persistent
ADTX,2022-09-14,REVERSE_SPLIT,0.02,yahoo,not-corroborated,0.0152,0.032,persistent
ADTX,2023-08-18,REVERSE_SPLIT,0.025,yahoo,corroborated,0.0218,0.0229,persistent
ADTX,2024-10-02,REVERSE_SPLIT,0.025,yahoo,not-corroborated,0.0201,0.043,persistent
ADTX,2025-03-17,REVERSE_SPLIT,0.004,yahoo,corroborated,0.0041,0.0046,persistent
ADTX,2025-11-03,REVERSE_SPLIT,0.00885,yahoo,corroborated,0.0109,0.0093,persistent
ADTX,2026-03-09,REVERSE_SPLIT,0.125,yahoo,corroborated,0.1167,0.1424,persistent
ADTX,2026-05-18,REVERSE_SPLIT,0.037037,yahoo,corroborated,0.0338,0.0397,persistent
ADV,2026-03-27,REVERSE_SPLIT,0.04,yahoo,corroborated,0.0364,0.0355,persistent
ADVB,2026-02-20,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0566,0.0563,persistent
ADVM,2024-03-21,REVERSE_SPLIT,0.105263,inband,corroborated,0.0984,0.1045,persistent
ADXN,2023-10-23,REVERSE_SPLIT,0.05,yahoo,ex-date-absent,,,
AEC,2025-08-01,REVERSE_SPLIT,0.0133333333333,yahoo,ex-date-absent,,,
