symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev,gap_days,persistence
AACG,2024-05-29,27,17,1.588235,1.588235,0.9078,1.4184,0.0,71,persistent
AACIW,2025-06-30,13,27,0.481481,0.481296,27.336,0.204,0.000385,438,persistent
AALG,2026-03-05,17,12,1.416667,1.417347,2.0,2.0,0.00048,7,persistent
AAMC,2023-11-02,23,13,1.769231,1.767507,1.3907,2.0927,0.000975,7,persistent
ABEO,2022-07-05,1,20,0.05,0.051293,0.3192,0.1343,0.025529,4,persistent
ABNY,2025-12-08,1,5,0.2,0.199686,0.0697,0.0498,0.00157,12,persistent
ABP,2025-11-03,1,27,0.037037,0.036893,0.5866,0.0153,0.003904,3,persistent
ABTC,2026-07-06,2,29,0.068966,0.06839,0.3416,0.6783,0.008376,4,persistent
ABTS,2025-03-10,2,19,0.105263,0.106025,1.3129,0.1306,0.00721,6,persistent
ABVEW,2025-07-17,14,23,0.608696,0.609756,0.5751,0.5089,0.001741,1,bad-open-print
ACAXR,2023-04-17,5,12,0.416667,0.416667,0.7292,0.354,0.0,192,persistent
ACB,2024-02-20,3,28,0.107143,0.107182,0.1755,0.5906,0.000368,4,persistent
ACET,2025-12-30,1,16,0.0625,0.062607,0.0258,0.0584,0.001716,1,persistent
ACII,2025-10-23,2,5,0.4,0.399444,0.0007,0.0228,0.001391,1057,persistent
ACON,2022-12-20,40,27,1.481481,1.479167,1.0,1.0,0.001564,6,persistent
ACON,2024-01-04,1,21,0.047619,0.048426,0.7555,0.6743,0.016798,1,persistent
ACON,2025-03-28,1,25,0.04,0.039387,0.1083,0.047,0.01544,1,persistent
ACONW,2022-05-11,8,5,1.6,1.6,0.9479,0.9479,0.0,5,persistent
ACOR,2023-06-05,1,18,0.055556,0.055806,0.5387,0.0547,0.004506,3,persistent
ACQRW,2022-09-20,3,2,1.5,1.50501,0.8,1.4733,0.003334,7,persistent
ACRO WS,2022-09-14,5,11,0.454545,0.455829,0.2246,0.0923,0.002819,2,bad-open-print
ACRO WS,2023-02-09,17,32,0.53125,0.530482,0.803,0.5709,0.001447,1,bad-open-print
ACRS,2023-11-13,27,4,6.75,6.793478,40.6719,1.6156,0.006421,3,persistent
ACST,2023-07-10,3,17,0.176471,0.176531,5.2484,0.2614,0.00034,3,persistent
ACXP,2025-08-05,3,64,0.046875,0.046918,0.0953,0.0076,0.000915,1,persistent
ACY,2022-01-10,40,9,4.444444,4.465549,7.9583,5.2944,0.004737,3,persistent
ADIL,2023-08-07,1,24,0.041667,0.041517,0.48,0.1991,0.003604,3,persistent
ADIL,2026-02-06,1,26,0.038462,0.038268,1.0239,0.4539,0.005041,1,persistent
ADN,2024-05-14,1,28,0.035714,0.035306,0.2441,0.0208,0.011494,1,persistent
ADNWW,2022-10-13,23,16,1.4375,1.434286,1.0,1.05,0.002239,6,persistent
ADRT U,2024-05-31,29,80,0.3625,0.361905,0.8,0.76,0.001643,28,persistent
ADSEW,2024-03-01,8,25,0.32,0.320212,0.1318,0.7905,0.000661,85,persistent
ADSEW,2025-04-22,23,16,1.4375,1.435407,1.6,0.8,0.001457,21,persistent
ADTX,2023-08-18,1,50,0.02,0.0218,16.6473,0.5945,0.086173,1,persistent
ADTX,2026-03-09,2,17,0.117647,0.116658,2.9744,0.298,0.00844,3,persistent
ADV,2026-03-27,1,27,0.037037,0.036442,0.3033,0.1418,0.016202,1,persistent
ADVB,2026-02-20,2,35,0.057143,0.056594,0.1098,0.6474,0.009657,1,persistent
ADVM,2024-03-21,1,10,0.1,0.098387,0.1208,0.2027,0.016261,1,persistent
ADVWW,2022-07-19,7,11,0.636364,0.63686,0.4,0.8,0.000779,14,persistent
ADXN,2023-11-03,2,29,0.068966,0.069212,0.0066,0.495,0.003571,16,persistent
ADXN,2024-04-29,35,16,2.1875,2.184797,3.25,1.0,0.001236,5,persistent
AEACW,2022-06-03,19,12,1.583333,1.582674,0.8696,1.0435,0.000417,31,persistent
AEAEW,2022-05-19,28,17,1.647059,1.65,2.0,1.0,0.001784,36,persistent
AEHL,2022-01-24,14,9,1.555556,1.557143,2.0,1.0,0.00102,13,persistent
AEHL,2023-09-18,7,65,0.107692,0.107744,0.6508,0.1569,0.000481,3,persistent
AEHL,2024-01-05,27,19,1.421053,1.422886,0.6667,1.5333,0.001289,32,persistent
AEHL,2026-03-05,3,20,0.15,0.14938,0.5928,0.1607,0.004143,1,persistent
AEHL,2026-08-10,1,18,0.055556,0.054696,1.6283,0.151,0.015598,3,persistent
AEI,2022-12-29,4,65,0.061538,0.06131,0.7645,0.1752,0.003727,2,persistent
AEMD,2023-10-05,9,80,0.1125,0.11326,0.87,0.05,0.00673,1,persistent
AEMD,2025-06-09,3,20,0.15,0.150407,2.4074,0.3951,0.002706,13,persistent
AEMD,2025-10-21,1,10,0.1,0.101073,0.4409,0.2045,0.01067,4,persistent
AEMD,2026-08-04,5,27,0.185185,0.185237,0.06,0.505,0.000279,1,persistent
AENTW,2025-01-27,32,13,2.461538,2.48,2.0,1.5,0.007472,25,persistent
AENTW,2026-02-17,32,23,1.391304,1.390244,1.6,0.8,0.000762,12,persistent
AERT,2026-06-12,3,26,0.115385,0.116071,0.8131,0.1695,0.005935,1,persistent
AEVA,2024-03-19,6,31,0.193548,0.195736,0.5179,0.2824,0.011241,1,persistent
AEVA WS,2022-12-30,10,21,0.47619,0.476471,7.6597,0.1312,0.000588,1,bad-open-print
AEVAW,2025-06-30,7,20,0.35,0.350877,1.0435,0.6957,0.002503,13,persistent
AEY,2023-11-21,3,28,0.107143,0.106969,0.2428,0.2428,0.001629,21,persistent
AEZS,2022-07-22,1,26,0.038462,0.038244,0.0718,0.0957,0.005677,2,persistent
AEZS,2024-05-03,1,4,0.25,0.251799,1.574,0.722,0.007168,1,persistent
AFIB,2023-09-20,16,23,0.695652,0.697183,1.0,1.0,0.002198,7,persistent
AFJKU,2025-12-09,1,4,0.25,0.248376,0.02,0.125,0.006517,1,persistent
AFMD,2024-03-11,1,10,0.1,0.09901,0.763,0.3624,0.00995,3,persistent
